intensity,laser_id,azimuth,distance_m,adjustedtime,timestamp,vertical_angle,Points_m_XYZ:0,Points_m_XYZ:1,Points_m_XYZ:2,,,,adjustedtime,timestamp,
3,15,22199,7588,652444206,652444206,15,-4.90340518951416,-5.447695255279541,1.963918924331665,,,,652444206,652444206,0
3,15,22220,7.608000000000001,652444262,652444262,15,-4.936316013336182,-5.443997859954834,1.969095349311829,,,,652444262,652444262,56
1,15,22239,7628,652444317,652444317,15,-4.967365741729736,-5.441866874694824,1.974271655082703,,,,652444317,652444317,111
1,15,22259,7.640000000000001,652444372,652444372,15,-4.994175434112549,-5.433027744293213,1.977377533912659,,,,652444372,652444372,166
1,15,22279,7644,652444428,652444428,15,-5.015734195709229,-5.418396949768066,1.978412747383118,,,,652444428,652444428,222
10,15,22319,7622,652444538,652444538,15,-5.038895130157471,-5.36775541305542,1.972718715667725,,,,652444538,652444538,332
10,15,22339,7622,652444593,652444593,15,-5.057601451873779,-5.350133895874023,1.972718715667725,,,,652444593,652444593,387
9,15,22360,7602,652444649,652444649,15,-5.063854217529297,-5.317570686340332,1.967542409896851,,,,652444649,652444649,443
1,15,22380,7.62,652444704,652444704,15,-5.094419479370117,-5.312411308288574,1.972201108932495,,,,652444704,652444704,498
1,15,22598,7604,652445312,652445312,15,-5.281697750091553,-5.104040145874023,1.96806001663208,,,,652445312,652445312,1106
6,15,22619,7536,652445368,652445368,15,-5.252969741821289,-5.039177417755127,1.950460314750671,,,,652445368,652445368,1162
2,13,22777,23346,652445805,652445805,13,-16.84355545043945,-15.2888822555542,5.251707077026367,,,,652445805,652445805,1599
9,13,22817,23346,652445916,652445916,13,-16.94988059997559,-15.17092037200928,5.251707077026367,,,,652445916,652445916,1710
7,13,22837,23366,652445971,652445971,13,-17.01729965209961,-15.12460708618164,5.256206512451172,,,,652445971,652445971,1765
9,13,22857,23374,652446026,652446026,13,-17.07583618164063,-15.07027149200439,5.25800609588623,,,,652446026,652446026,1820
7,13,22877,23398,652446082,652446082,13,-17.14592361450195,-15.02598667144775,5.263404846191406,,,,652446082,652446082,1876
4,13,22897,23384,652446137,652446137,13,-17.18797874450684,-14.9570894241333,5.260255336761475,,,,652446137,652446137,1931
2,9,22913,23.25,652446183,652446183,9,-17.36510276794434,-15.02621650695801,3.637101411819458,,,,652446183,652446183,1977
7,13,22917,23402,652446192,652446192,13,-17.25335502624512,-14.90846824645996,5.264304637908936,,,,652446192,652446192,1986
5,9,22933,23244,652446238,652446238,9,-17.41295433044434,-14.96164703369141,3.636162757873535,,,,652446238,652446238,2032
7,13,22937,23422,652446248,652446248,13,-17.3200798034668,-14.86084175109863,5.268803596496582,,,,652446248,652446248,2042
2,9,22953,23286,652446294,652446294,9,-17.49663162231445,-14.92769813537598,3.642732858657837,,,,652446294,652446294,2088
2,9,22974,23278,652446349,652446349,9,-17.54519653320313,-14.85836315155029,3.641481399536133,,,,652446349,652446349,2143
2,9,22993,23.31,652446404,652446404,9,-17.61855888366699,-14.82044506072998,3.646487474441528,,,,652446404,652446404,2198
3,11,22995,23326,652446409,652446409,11,-17.52760314941406,-14.73348903656006,4.450810432434082,,,,652446409,652446409,2203
2,9,23014,23302,652446460,652446460,9,-17.66669464111328,-14.75070571899414,3.645236015319824,,,,652446460,652446460,2254
4,11,23015,23346,652446464,652446464,11,-17.59399795532227,-14.6847972869873,4.45462703704834,,,,652446464,652446464,2258
2,9,23033,23302,652446515,652446515,9,-17.71551322937012,-14.69204044342041,3.645236015319824,,,,652446515,652446515,2309
4,11,23035,23.37,652446519,652446519,11,-17.66329002380371,-14.63832569122314,4.459206104278564,,,,652446519,652446519,2313
2,9,23054,23318,652446570,652446570,9,-17.78144454956055,-14.63705444335938,3.647738933563232,,,,652446570,652446570,2364
4,11,23055,23384,652446575,652446575,11,-17.72489166259766,-14.58531284332275,4.461877346038818,,,,652446575,652446575,2369
2,9,23073,23338,652446625,652446625,9,-17.84517860412598,-14.5905122756958,3.650867462158203,,,,652446625,652446625,2419
4,11,23075,23384,652446630,652446630,11,-17.77569580078125,-14.52335262298584,4.461877346038818,,,,652446630,652446630,2424
2,9,23094,23378,652446681,652446681,9,-17.92921257019043,-14.54990291595459,3.657124996185303,,,,652446681,652446681,2475
4,11,23095,23.4,652446685,652446685,11,-17.83847999572754,-14.47110939025879,4.464930534362793,,,,652446685,652446685,2479
2,9,23113,23438,652446736,652446736,9,-18.02350234985352,-14.52755737304688,3.666511058807373,,,,652446736,652446736,2530
4,11,23115,23394,652446741,652446741,11,-17.88429832458496,-14.40505886077881,4.463785648345947,,,,652446741,652446741,2535
3,11,23135,23404,652446796,652446796,11,-17.942138671875,-14.34867477416992,4.465693950653076,,,,652446796,652446796,2590
3,11,23155,23442,652446851,652446851,11,-18.02132797241211,-14.30915260314941,4.472944259643555,,,,652446851,652446851,2645
1,11,23175,23474,652446907,652446907,11,-18.09583473205566,-14.26560592651367,4.479050159454346,,,,652446907,652446907,2701
9,15,23277,7408,652447192,652447192,15,-5.697366237640381,-4.329240322113037,1.917331457138062,,,,652447192,652447192,2986
3,15,23297,7.398000000000001,652447247,652447247,15,-5.704732418060303,-4.30350923538208,1.914743304252625,,,,652447247,652447247,3041
1,15,23319,7444,652447303,652447303,15,-5.75678825378418,-4.308195114135742,1.92664897441864,,,,652447303,652447303,3097
1,15,23339,7404,652447358,652447358,15,-5.740777492523193,-4.265032291412354,1.916296243667603,,,,652447358,652447358,3152
